quarter,country_name,default_rate,loss_rate,lgd
2019-Q4,China,0.0015594739142382227,0.13418179373906403,0.4772830971183783
2019-Q4,Hong Kong,0.0017236465990657188,NA,0.3608692952035916
2019-Q4,India,0.015516610537007952,NA,0.4395945784532298
2019-Q4,"Korea, Republic Of",0.0012386218863385933,NA,0.37050535114528205
2019-Q4,Russian Federation,1.7057533134607998e-4,NA,0.3814392166211528
2019-Q4,Singapore,0.003140778651775322,0.5016543927335145,0.2959460424009379
2019-Q4,Switzerland,0.006439032025051639,0.1042927923923066,0.3237666965981947
2019-Q4,United States,0.006242581271186764,0.19263394336553627,0.29542266329770017
2020-Q1,Austria,0.0084734840506805,0.3072425562985084,0.31208648391207017
2020-Q1,Belgium,0.014514628943101772,0.2008058654586326,0.2635828050232546
2020-Q1,Bulgaria,0.01743652422822967,NA,0.4217232664147649
2020-Q1,Croatia,0.02953454802927821,NA,0.39334159944379654
2020-Q1,Cyprus,0.011866038163900774,NA,0.3390352436368271
2020-Q1,Czech,0.0050542301637652685,0.34206347982820784,0.3284895248287218
2020-Q1,Denmark,0.006565265436228036,0.1541791945453722,0.22474377550293406
2020-Q1,Estonia,0.0025981163767892306,0.2248406950533638,0.41244916382801766
2020-Q1,Finland,0.010241393986285917,0.20314593733099676,0.35416294302847234
2020-Q1,France,0.011043177534337534,0.26340069481768025,0.35202174741121733
2020-Q1,Germany,0.00801362737692933,0.2912586959841779,0.36939545113094546
2020-Q1,Greece,0.02124760189687349,0.15709658720612754,0.40328839934205785
2020-Q1,Hungary,0.0050443265681050994,NA,0.425511503666963
2020-Q1,Ireland,0.034195114480710234,0.5863712453307477,0.330322010771142
2020-Q1,Italy,0.01177960574649355,0.273735323491616,0.3839100188728017
2020-Q1,Latvia,NA,NA,0.4282392749824575
2020-Q1,Lithuania,NA,NA,0.41734931750288473
2020-Q1,Luxembourg,0.00508339708326693,0.05052993339949663,0.33905247933425947
2020-Q1,Malta,0.043792005642809766,NA,0.24069933667106377
2020-Q1,Netherlands,0.016822779910539844,0.14594070212227025,0.272961280324582
2020-Q1,Norway,0.012741666752969455,0.22019659611279077,0.27131288891257926
2020-Q1,Poland,0.012706456352684617,0.27163616820648306,0.3763581220765288
2020-Q1,Portugal,0.022347282844909833,0.2504576552601617,0.41079591407594457
2020-Q1,Romania,0.03475647837869904,NA,0.40192485490666774
2020-Q1,Slovakia,0.023866563545095053,0.7848485857188701,0.40645501424709796
2020-Q1,Slovenia,0.009332663341922467,NA,0.40087932632545786
2020-Q1,Spain,0.019221570748232317,0.3366946520135952,0.38883336219875625
2020-Q1,Sweden,0.0036701608116667724,0.2757224777024695,0.24889773608316978
2020-Q1,United Kingdom,0.011380313543581617,0.11503814137734829,0.3564737777773938
2020-Q1,Australia,0.007358523123438981,NA,0.29941689992006404
2020-Q1,Canada,0.004704791911719932,NA,0.3577567512185785
2020-Q1,China,0.024781162267784165,NA,0.4823333630955618
2020-Q1,Hong Kong,0.002263771742004692,0.10026417856189429,0.36189404787121837
2020-Q1,India,0.023229200514049947,NA,0.4516759623368369
2020-Q1,"Korea, Republic Of",0.001419301979325908,NA,0.37615626529641516
2020-Q1,Russian Federation,0.005327957637450811,NA,0.39229156782345365
2020-Q1,Singapore,0.012047093387351868,0.5552410285993383,0.3200028400654204
2020-Q1,Switzerland,0.017639348890530072,0.031446134390595244,0.325826026222158
2020-Q1,United States,0.005377429715136927,0.2722568171772724,0.3020320145990096
2020-Q2,Austria,0.0083203948,0.2108955227,0.3083679088
2020-Q2,Belgium,0.0155784108,0.242767489,0.2664271018
2020-Q2,Bulgaria,0.0121932518,NA,0.4180359885
2020-Q2,Croatia,0.0227086332,NA,0.3977353365
2020-Q2,Cyprus,0.0939198123,NA,0.3352586013
2020-Q2,Czech,0.0063923496,0.3576372399,0.3218119121
2020-Q2,Denmark,0.0067852477,0.1724804708,0.2300042598
2020-Q2,Estonia,0.0055666949,0.2693910505,0.4135353858
2020-Q2,Finland,0.0133354756,0.1613118708,0.3526140828
